"pft","feature","x","ale_mean","ale_lo","ale_hi","bin_count","n_folds"
"Coccolithophores","ice_volume_flux_lag2",-110.25,-0.00313907340817037,-0.00315070135939113,-0.00228795975562849,1477,5
"Coccolithophores","ice_volume_flux_lag2",-101.75,-0.00449083576017944,-0.00498397471237465,-0.00378269387991968,1583,5
"Coccolithophores","ice_volume_flux_lag2",-93.15,-0.00516712701779473,-0.00579593767387107,-0.00480982822978604,1281,5
"Coccolithophores","ice_volume_flux_lag2",-86.95,-0.00457135250000418,-0.00476603186931182,-0.00425226192686109,1432,5
"Coccolithophores","ice_volume_flux_lag2",-77.5,0.000463859893406621,-0.00151823565446562,0.0019323964741936,1546,5
"Coccolithophores","ice_volume_flux_lag2",-62.2,0.00210797245891057,0.000586562538743141,0.00425704155991991,1530,5
"Coccolithophores","ice_volume_flux_lag2",-49.05,0.014883238249498,0.0149170749500916,0.0182716446919883,1583,5
"Coccolithophores","ice_volume_flux_lag2",-34.55,0.0131461762507766,0.012130744882311,0.0154394000625596,1721,5
"Coccolithophores","latitude",70.4375,-0.00783231585613846,-0.00908994624011602,-0.00583399044447775,1374,5
"Coccolithophores","latitude",71,-0.00933249241323737,-0.0108733303345226,-0.00826439321975954,1388,5
"Coccolithophores","latitude",71.4375,-0.00874259558645411,-0.0100514438162994,-0.00773998554103548,1416,5
"Coccolithophores","latitude",71.8125,-0.00713264985215395,-0.00826204677520212,-0.00602105893300534,1534,5
"Coccolithophores","latitude",72.1875,-0.00641798456426817,-0.00757084504364206,-0.00534891705740609,1561,5
"Coccolithophores","latitude",72.5625,-0.00731551716567017,-0.00855652033553209,-0.0064938584603859,1436,5
"Coccolithophores","latitude",72.9375,-0.00612368045704914,-0.00723814240792691,-0.00512863384368136,1421,5
"Coccolithophores","latitude",73.3125,-0.00356628846321131,-0.00416257442322559,-0.00289649171418893,1410,5
"Coccolithophores","latitude",73.75,-0.00158709099506484,-0.00179820482583838,-0.00123657608251811,1897,5
"Coccolithophores","latitude",74.1875,-0.00159077898617563,-0.00172535531040468,-0.00121639274615988,1394,5
"Coccolithophores","latitude",74.5625,-0.00206217545563138,-0.00213717589244194,-0.00161737859265723,1348,5
"Coccolithophores","latitude",75,-0.00196173575226711,-0.00259858822581453,-0.000989441283898674,1751,5
"Coccolithophores","latitude",75.4375,-0.00286492748520261,-0.00371806078890862,-0.00231616731700403,1269,5
"Coccolithophores","latitude",75.875,-0.00304938874590485,-0.00378159762892502,-0.00266967672960899,1600,5
"Coccolithophores","latitude",76.375,0.00331037117567501,0.00267455745950959,0.00471049358497465,1518,5
"Coccolithophores","latitude",76.9375,0.0110591619089574,0.00908127261092806,0.0127412160559683,1591,5
"Coccolithophores","latitude",77.625,0.0119573096545916,0.0102350600442571,0.0134276112978867,1563,5
"Coccolithophores","latitude",78.4375,0.010462077012147,0.010282468114521,0.0127446029075219,1500,5
"Coccolithophores","latitude",79.5,0.0128598887865474,0.0122712343349892,0.0169596965527565,1453,5
"Coccolithophores","latitude",81.75,0.0162179443228247,0.015926674972678,0.0193559578471952,1576,5
"Coccolithophores","longitude",-19.8125,-0.0133017472324946,-0.0135040460464882,-0.0132522899029523,1472,5
"Coccolithophores","longitude",-12.875,-0.0161155427093775,-0.0165869999849841,-0.0150269904418514,1481,5
"Coccolithophores","longitude",-9.5625,-0.0165125736719853,-0.0168683189004146,-0.0150593374639559,1509,5
"Coccolithophores","longitude",-6.75,-0.0160774921362349,-0.016624767568138,-0.0142756180690153,1503,5
"Coccolithophores","longitude",-4.0625,-0.0159098786584977,-0.016503080716303,-0.0134871051643428,1502,5
"Coccolithophores","longitude",-1.625,-0.0166507708470963,-0.0172200027629261,-0.0140883660663157,1465,5
"Coccolithophores","longitude",0.625,-0.0163046835254299,-0.016633206910238,-0.0139994334256811,1487,5
"Coccolithophores","longitude",2.875,-0.0162530048032933,-0.0165045954241131,-0.0140256013606695,1578,5
"Coccolithophores","longitude",5.0625,-0.0145470776973465,-0.014990756735567,-0.012721461146469,1479,5
"Coccolithophores","longitude",7.125,-0.0134506079290031,-0.0140488603614964,-0.0116704113158681,1467,5
